科目名,年度,時間割コード,テーマ
Academic Communication（独）,2017,3C059,日常生活と留学のためのドイツ語のコミュニケーション能力を身につけるための授業です。日常的な場面と大学の授業等の場面でドイツ語で話す・聞くことができるようになります。
Academic Communication（仏）,2017,3C061,日常生活と留学のためのフランス語のコミュニケーション能力を身につけるための授業です。日常的な場面と大学の授業等の場面でフランス語で話すことができるようになります。
文化施設制度論,2017,3C067,日本における戦後の舞台文化施設の発展を概観し、神戸の文化施設への訪問や鑑賞体験、裏方エピソードなどを交えながら、現代社会の中で文化施設のもつ役割や可能性について考察する。また、企画書を書く上で必要な「書く力」を養います。
英会話（上級）I,2017,1C020,To raise students' ability to discuss issues related to current events and intercultural issues
英会話（上級）I,2017,1C021,The ultimate goal of this course is to improve students' abilities to communicate in English in real world situations and on topics of personal interest.
外国語演習（英語）,2017,1C138,様々な文化現象を記号として捉え、それを解読しようとする「記号論」の視点から、広告を中心に論じた英語の文献を読む。
外国語演習（英語）,2017,1C142,本演習では、文化人類学の基礎的なテキストのほか、近年に刊行されたオセアニアを対象とする民族誌を使用し、英語の専門的なテキストを読む訓練を行う。
外国語演習（英語）,2017,1C143,国民投票の結果が示したイギリスのEUからの離脱は、イギリス国内は無論、国際社会に大きな衝撃を与えた。イギリス政治社会において、何が起こっているのか。小選挙区制を中心とした選挙制度改革からエージェンシー化、マニフェストの導入等、90年代以降のわが国における一連の政治行政改革の動きと関わって、ややもすればイギリスの政治については、改革モデルとして理想化された形で紹介されることが少なくない。本演習は、イギリス政治に関する最新の論文集をテキストに、イギリス政治の現状を理解する。
英会話（上級）I,2017,1C019,"In this course, students will participate in a variety of speaking activities to develop their fluency and vocabulary on various themes. Listening materials will come from the Internet, giving students a good opportunity to listen to authentic, international English."
専門諸言語（タイ語）,2017,1C031,この授業では、初歩的なタイ語の日常会話と文字の読み書きについて学びます。
国際コミュニケーション演習I,2017,1C034,グローバル問題とアフリカのスタディズ
国際コミュニケーション演習Ⅳ,2017,1C038,"Students will engage in activities centered around extensive (pleasure) reading with the use of graded readers. They will read and write for homework, maintain a portfolio of all their work, and actively seek to build their vocabulary and knowledge of English language."
Cultures and Societies in Japan II,2017,1C039,Japanese Cultures and Societies from the Edo period to the present day.
ガヴァナンス論,2017,1C111,グローバル・ガヴァナンス、ローカル・ガヴァナンス、さらにマルチレベル・ガヴァナンス等に示されるように、近年「ガヴァナンス」（governance）という言葉が目立って使用されるようになってきた。ガヴァナンス論台頭の背景には、1980年代以降の新自由主義的潮流の台頭やグローバル化の進展に伴い、政府（government）という形で統治機能を独占してきた国家の役割が、相対化されつつあるという状況がある。本講義では、国内政治と国際政治の交錯をはじめ、主として先進諸国を中心に、経済のグローバル化が各国の戦後政治経済体制に及ぼす影響や変容の諸相、経済発展と政治的民主化の相互関係、さらにヨーロッパ統合という国民国家を超えた政治の実験について、比較政治経済学や国際政治経済学の視点から検討したい。
現代アメリカ論,2017,1C136,アメリカ合衆国が世界に及ぼしている影響力は今でもなお圧倒的なものがあります。その一方で、ますますグローバル化する世界経済のなかで合衆国の対外的パワーは確実に低下傾向にあり、ヒスパニック人口の増加に象徴されるように、その国内社会状況も着実に変化しつつあります。この講義ではそのようなさまざまに揺れ動いているアメリカ合衆国の政治、外交、経済、社会、文化、思想を、過去、現在、未来の時間軸のなかでとらえていきます。
専門演習Ａ（情報）,2017,1C202,情報コミュニケーション論講座の２年次生を対象に，実証的に（つまり実際に）なにかを調べる（研究する）場合に必要となる機器の操作の体験を通して「測定する」「操作する」ことの意味を学ぶとともに，「なぜそのような測定や操作が可能なのか」という原理や「なぜそのような測定や操作が必要なのか」という側面についても概略を学びます。
専門演習Ｂ(0),2017,1C236,テーマ：社会的排除と都市空間「見る-見られる」関係が張りめぐらされ排除と包摂のメカニズムが作動する、きわめて「人間臭い」都市空間の解読を通じて、現代社会のありようを捉える。
専門演習Ｂ(0),2017,1C243,＜テーマ＞移動・文化のゆらぎグローカル化、移動（・移民・移住）や越境と定着/現地化、トランスナショナル・ネットワーク、ディアスポラ、流動性、多文化（言語、宗教含む）共生への模索、ハイブリディティ（異種混交）、クレオール化の錯綜という側面に焦点を当てる。
専門演習Ｂ(2)（現代）,2017,1C336,テーマ：社会的排除と都市空間「見る-見られる」関係が張りめぐらされ排除と包摂のメカニズムが作動する、きわめて「人間臭い」都市空間の解読を通じて、現代社会のありようを捉える。
専門演習Ｂ(2)（異文化）,2017,1C343,＜テーマ＞移動・文化のゆらぎグローカル化、移動（・移民・移住）や越境と定着/現地化、トランスナショナル・ネットワーク、ディアスポラ、流動性、多文化（言語、宗教含む）共生への模索、ハイブリディティ（異種混交）、クレオール化の錯綜という側面に焦点を当てる。
専門演習Ｂ(2)（地域）,2017,1C369,ヨーロッパ、とりわけイギリス文化をきめ細やかに学んでいきましょう。
日本近現代社会論,2017,3C119,歴史学および文化史研究の手法と題材を用い、東アジア同時代史の枠組みのなかで戦後日本の占領期像を検討する。占領期を歴史認識の対象として考える試み。
東南アジア国家形成論,2017,3C128,環太平洋地域の中で要の位置にある、東南アジア島嶼部の歴史を、様々なタイプの国家形成の諸相に注目して学ぶ。
専門演習Ｂ(1)（情報）,2017,3C213,英語の「ていねい表現」、特に「ほめことば」と「謝罪表現」の男女差について、社会言語学の観点から考察したテキスト（英文）を読む。
専門演習Ｂ(1)（情報）,2017,3C224,この演習は、コンピュータ・ネットワーク等情報機器の操作・利用・設定・管理の基礎として、そのハード的構造およびソフト的構造の理解および実際の情報機器を用いた技術の修得を目標としている。
専門演習Ｂ(1)（現代）,2017,3C230,風景の喪失とその意味
専門演習Ｂ(1)（現代）,2017,3C236,テーマ：鶴見俊輔を読む近現代日本史、日米関係、思想史、戦争と個人、プラグマティズム、日常生活の思想、大衆芸能その他その他について鶴見俊輔を読みながら考える。
専門演習Ｂ(1)（異文化）,2017,3C253,明治以降の日本の短編小説のいくつかを原典と英訳で読みます。本来、原典を正確に移し換えていることが、翻訳の存在する理由なのですが、日本文学の翻訳作品ついていえば、こんなに違ってしまっていいの？と思えるくらい、異なる読書体験、異なる文学世界が生まれることがあります。それはなぜでしょう？その理由、原因を個々の作品に沿って議論し、考えていきます。
専門演習Ｂ(3)（情報）,2017,3C313,英語の「ていねい表現」、特に「ほめことば」と「謝罪表現」の男女差について、社会言語学の観点から考察したテキスト（英文）を読む。
専門演習Ｂ(3)（情報）,2017,3C324,この演習は、コンピュータ・ネットワーク等情報機器の操作・利用・設定・管理の基礎として、そのハード的構造およびソフト的構造の理解および実際の情報機器を用いた技術の修得を目標としている。
専門演習Ｂ(3)（現代）,2017,3C330,風景の喪失とその意味
専門演習Ｂ(3)（現代）,2017,3C336,テーマ：鶴見俊輔を読む近現代日本史、日米関係、思想史、戦争と個人、プラグマティズム、日常生活の思想、大衆芸能その他その他について鶴見俊輔を読みながら考える。
専門演習Ｂ(3)（異文化）,2017,3C353,明治以降の日本の短編小説のいくつかを原典と英訳で読みます。本来、原典を正確に移し換えていることが、翻訳の存在する理由なのですが、日本文学の翻訳作品ついていえば、こんなに違ってしまっていいの？と思えるくらい、異なる読書体験、異なる文学世界が生まれることがあります。それはなぜでしょう？その理由、原因を個々の作品に沿って議論し、考えていきます。
国際コミュニケーション演習I,2017,1C035,グローバル問題とアフリカのスタディズ
国際コミュニケーション演習I,2017,1C036,"International Communication I (Spring Semester)Through this course, students will develop their abilities to communicate in English on various topics wich students get easily interested in."
現代社会理論,2017,1C096,貧困の共有という事態は、人類の長い歴史において、共同性の基礎にあるものだった。近代後の個人化の過程は、貧困の忘却とともに進展し、現代の私たちの自己認識や社会のありようを帰結している。この授業では、「貧しさ」「私らしさ」をキーワードとして、近現代の時空間についての認識を深めたいと思う。
文化様式成立論,2017,1C118,フェニックス（不死鳥）についての古代ギリシア・ローマ人のイメージをさまざな資料から探り、その「生態」に迫る。古代ヨーロッパの空想上の鳥ながら、日本でも案外親しまれている（比喩にもよく用いられる）ゆえんを知ることができよう。
日本言語文化論,2017,1C120,超越者の観念からみる日本思想
北アジア社会文化論,2017,1C127,この授業のテーマは「モンゴル近現代史」である。
専門演習Ｂ(0),2017,1C246,"本年度の演習では、Sherine Hafez and Susan Slyomovicsを編者とする論文集Anthropology of the Middle East and North Africa（Indiana University Press, 2013年）を講読し、人類学的観点に基づく中東研究のアプローチの特徴や、研究テーマ、そして最新の議論の展開について学ぶ。"
専門演習Ｂ(0),2017,1C251,この演習では、様々な社会問題を解決・改善するための政策を立案し、提言するトレーニングを行います。大学の授業では、社会問題に対する過去の研究や思想を学ぶことに多くの時間を割いていますが、「ではどうしたらよいのか？」という問いに正面から取り組む機会は限られています。結果的に大学時代に考えていた「理想」と、社会に出たからの「現実」がかけ離れたまま、社会人生活を送ることになりがちです。政治や社会を批判的にとらえるだけでは、自分が社会の一員となった場合の行動力や思考力は身に付きません。「どうせ理想通りにいかない世の中だから」と諦めて、本の中の理想に閉じこもるのではなく、現実の様々な制約の中でどこまで自分なりの理想を実現できるのかを考える力を身につけることこそ、政策型思考力だと言えます。この授業では、毎週、グループや個人で様々な社会問題に対する政策提言のプレゼンテーションを行うことで、政策を立案し、議論し、実現する、政策型思考力を鍛えてゆきたいと考えています。この演習は講座や学年を問わず、積極的に発言し、議論する学生を歓迎します。なお今期は７月1日に阪南大学で開催される関西国際関係合同ゼミナールに参加しますので、合同ゼミに関わる活動にも積極的に参加してほしいと思います。その他、神戸大学法学部のいくつかのゼミとの研究会も予定しています。
専門演習Ｂ(2)（異文化）,2017,1C346,"本年度の演習では、Sherine Hafez and Susan Slyomovicsを編者とする論文集Anthropology of the Middle East and North Africa（Indiana University Press, 2013年）を講読し、人類学的観点に基づく中東研究のアプローチの特徴や、研究テーマ、そして最新の議論の展開について学ぶ。"
専門演習Ｂ(2)（異文化）,2017,1C351,この演習では、様々な社会問題を解決・改善するための政策を立案し、提言するトレーニングを行います。大学の授業では、社会問題に対する過去の研究や思想を学ぶことに多くの時間を割いていますが、「ではどうしたらよいのか？」という問いに正面から取り組む機会は限られています。結果的に大学時代に考えていた「理想」と、社会に出たからの「現実」がかけ離れたまま、社会人生活を送ることになりがちです。政治や社会を批判的にとらえるだけでは、自分が社会の一員となった場合の行動力や思考力は身に付きません。「どうせ理想通りにいかない世の中だから」と諦めて、本の中の理想に閉じこもるのではなく、現実の様々な制約の中でどこまで自分なりの理想を実現できるのかを考える力を身につけることこそ、政策型思考力だと言えます。この授業では、毎週、グループや個人で様々な社会問題に対する政策提言のプレゼンテーションを行うことで、政策を立案し、議論し、実現する、政策型思考力を鍛えてゆきたいと考えています。この演習は講座や学年を問わず、積極的に発言し、議論する学生を歓迎します。なお今期は７月1日に阪南大学で開催される関西国際関係合同ゼミナールに参加しますので、合同ゼミに関わる活動にも積極的に参加してほしいと思います。その他、神戸大学法学部のいくつかのゼミとの研究会も予定しています。
情報科学演習III,2017,3C004,コンピュータのプログラミングを学ぶことでコンピュータのソフトウェアがどのように動いているかを理解し、自分でもソフトウェアを作成してコンピュータを望み通りに動かすことができるということを実感する。
TOEFL演習,2017,3C005,"Language is part of culture, and it consists of much more than putting words into sentences. Culture determines habits of mind, how people interact with each other, what kinds of things they talk about or don’t talk about, and how they talk about them. Implicit in the TOEFL test is a cultural bias. The people who write the tests and determine how you should be graded have minds trained by Western culture. This means that, whether they are thinking about it or not, they are looking for answers that conform to a kind of Aristotelian logic that in its simpler modern form is known as critical thinking. In other words, they assume that conversing well means speaking clearly, addressing questions directly, and giving clear support showing that your viewpoint is valid. They assume that writing well means answering the question directly and supporting what you say with facts and reasons. Your score is based in part on how you put English words into English sentences, but also on the logic, the"
専門諸言語（モンゴル語）,2017,3C032,この授業のテーマは、「現代モンゴル語入門」である。
英米文学概論,2017,3C068,イギリス文学と何か、小説を題材にその極意を考えてみましょう。
非言語コミュニケーション論,2017,3C081,共感や思いやりが社会生活において大切であることには皆さん気づかれていることと思います。それでは、私たちはどのようにして他者の心を理解しているのでしょうか。実は、非言語コミュニケーションが非常に大きな役割を果たしています。面と向かって話していると、電話やメール以上に相手の気持ちが伝わってくるでしょう。私たちは、言語以外を使ってさまざまあ情報を伝え合っているのです。この授業では、ヒト・ヒト幼児・ヒト以外の動物がどのように他者と意思疎通をおこない、感情を理解し、共同生活を営み、社会や文化を形成しているかについてお話します。
国際関係論,2017,3C110,国際関係の基本的枠組み（歴史の大枠や基礎的理論）と、現代国際関係の主要課題を理解する視座を、とくに「文化」の視点から掘り下げる。地域としてはEU（欧州連合）に軸足を置いて講義を行う。［EUIJ科目］
資料講読演習,2017,3C156,歴史資料を具体的に分析する力を養う。
専門演習Ｂ(1)（異文化）,2017,3C251,後期月曜４時限の演習では、主に３回生を対象として、個人研究報告と卒論研究の準備としてレポートの作成を指導します。本演習では、Ｇ８（アメリカ、イギリス、フランス、ドイツ、イタリア、カナダ、ロシア、日本）諸国を比較政治・社会学的に考察していくことをメインテーマとします。大きく分けて、１．Ｇ８諸国と国際政治経済、２．Ｇ８諸国における政治・経済・社会問題、３．比較外交政策、４．大衆消費文化（テレビ、映画、音楽など）に反映されている政治・経済・社会問題などをカバーします。講座や学年を問わず、意欲のある皆さんの積極的な受講を歓迎します。
専門演習Ｂ(1)（地域）,2017,3C267,東南アジアは、さまざまな言語を話す民族が共存し、近現代にはさらに大量の移民を受け入れ、その中に独特の国際社会を形成しています。また、歴史的には多様な宗教を受容して重層的な信仰を形成しています。さらに現代には世界の三大宗教である仏教・イスラーム・キリスト教が人々の豊かな精神性を育んでおり、東南アジアの宗教者は、欧米人など多くの外国人をも魅了しています。その半面で、都市と農村、富めるものと貧しいものとの間には大きな格差が存在し、政治権力は多くの矛盾を抱えているという問題があります。
専門演習Ｂ(1)（地域）,2017,3C272,この授業では、アメリカ合衆国の文化全般を扱うが、特に文学、映画、絵画、音楽等の芸術、大衆文化を通してアメリカの特質を理解することを目的とする。
専門演習Ｂ(3)（異文化）,2017,3C351,後期月曜４時限の演習では、主に３回生を対象として、個人研究報告と卒論研究の準備としてレポートの作成を指導します。本演習では、Ｇ８（アメリカ、イギリス、フランス、ドイツ、イタリア、カナダ、ロシア、日本）諸国を比較政治・社会学的に考察していくことをメインテーマとします。大きく分けて、１．Ｇ８諸国と国際政治経済、２．Ｇ８諸国における政治・経済・社会問題、３．比較外交政策、４．大衆消費文化（テレビ、映画、音楽など）に反映されている政治・経済・社会問題などをカバーします。講座や学年を問わず、意欲のある皆さんの積極的な受講を歓迎します。
専門演習Ｂ(3)（地域）,2017,3C367,東南アジアは、さまざまな言語を話す民族が共存し、近現代にはさらに大量の移民を受け入れ、その中に独特の国際社会を形成しています。また、歴史的には多様な宗教を受容して重層的な信仰を形成しています。さらに現代には世界の三大宗教である仏教・イスラーム・キリスト教が人々の豊かな精神性を育んでおり、東南アジアの宗教者は、欧米人など多くの外国人をも魅了しています。その半面で、都市と農村、富めるものと貧しいものとの間には大きな格差が存在し、政治権力は多くの矛盾を抱えているという問題があります。
専門演習Ｂ(3)（地域）,2017,3C372,この授業では、アメリカ合衆国の文化全般を扱うが、特に文学、映画、絵画、音楽等の芸術、大衆文化を通してアメリカの特質を理解することを目的とする。
国際文化学実習,2017,1C049,日本語教育と異文化理解
博物館実習Ⅰ,2017,1C073,学芸員として、実際に資料を取り扱い、記録・整理するために必要となる博物館資料についての基礎的な知識と資料取り扱いの技能を習得する。それをふまえて、展示をおこなう上で必要な基礎知識を習得する。
芸術文化形成論,2017,1C103,フランス語圏の芸術文化を学ぶ
文化人類学,2017,1C105,グローバル化や国際化の加速度的な進展とともに、地球上のすべての社会を取り巻く文化的環境は大きく変化している。それに伴い、文化人類学では、新しい知の体系を再構築するべく現代的および実践的な問題を積極的に扱うようになった。本授業では、世界の文化や社会の多様性を学ぶとともに、親族や儀礼などのほか開発、観光、紛争といった現代的な諸テーマを取り上げる。
日本社会文化論,2017,1C123,文化交流に焦点をあてながら、日本学とはなにかを講義
専門演習Ｂ(2)（情報）,2017,1C315,授業のテーマは異文化間コミュニケーションとしての翻訳です。
日本語コミュニケーション,2017,3C041,にほんごの　かいわの　れんしゅうをします。　／コミュニケーションの基本となる会話能力や口頭発表能力の向上を目指す。
言語間コミュニケーション論,2017,3C079,異文化コミュニケーションとしての広義の翻訳行為をテーマとして扱う。
情報通信システム論,2017,3C086,インターネット、携帯電話、デジタル放送など、日頃我々が利用している情報通信システムの仕組みを概説する。　授業では、パソコンを使ってインターネット上の情報を検索しながら、課題を解決していく。各自の知識状態に応じて、自分なりの知識を深めていくことを目指す。
情報通信システム論（高度教養科目）,2017,3CZ01,インターネット、携帯電話、デジタル放送など、日頃我々が利用している情報通信システムの仕組みを概説する。　授業では、パソコンを使ってインターネット上の情報を検索しながら、課題を解決していく。各自の知識状態に応じて、自分なりの知識を深めていくことを目指す。
ドイツ語会話I,2017,1C023,ドイツ語圏での生活を想定し、さまざまなコミュニケーションの場面に応じて、自分の身の回りのことを表現する、人に物事を尋ねるなど、多様 なシチュエーションに対応できるようになることが目的です。日常会話でのさまざまなコミュニケーションの形 式に適切に対応できる言語運用能力を身につけます。
Cultures and Societies in Japan Ⅳ,2017,1C040,To raise students' ability to think about Japanese cultures and societies as an insider and outsider
言語機能論,2017,1C078,ヴィトゲンシュタインの「語の意味＝語の使用」という考えに端を発した語用論、発話行為論、会話分析について概説しながら、英語学を中心とした語用論的立場を基礎に、言語のもつコミュニケーション機能について論じます。以下が主な論点です：（1）発話された文のコミュニケーション上の機能は何か。すべての発話に関し真偽を判定することは可能か。（2）オースティンの発話行為論は発話の意味をどのように捉えているのか。（3）グライスの「協調の原則」やスペルベルとウィルソンの「関連性理論」はどのようなものなのか。（4）発話に隠された意味を、聞き手はどのようなプロセスで推論し、理解するしているのか。（5）会話における「ポライトネス」とは何か。そしてコミュニケーションの中でどのような役割を果たしているのか。
比較政策論,2017,1C114,従来、政策は国民国家単位で検討され、立案されるのが一般的だったが、グローバル化の進展による越境的な課題の急増は一国単位での政策実施の有効性を著しく低下させた。世界各国は政策実践を相互に参照し、協調しながら、自国の歴史的・制度的背景に適合する政策を選択することを求められている。本科目では、先進諸国が共通して直面している政策課題とそれに対する各国の対応について、Ｇ８諸国の政策実践を比較しながら検討する。具体的には財政再建、通商政策、産業政策、地球温暖化対策、地方分権、移民・外国人に対する対応、少子・高齢化、格差是正、犯罪・テロ対策、教育改革、都市再生、雇用政策、農業・食糧政策、エネルギー政策、男女共同参画などの分野を取り上げます。
外国語演習（英語）,2017,1C141,"Looking into global sociological issues: In the past, the issues dealt with were Japanese mono-culturalism, nationalism, ethnocentrism, racism, sexism, class issues, development, poverty, religion, European integration and divide etc."
外国語演習（英語）,2017,1C144,テーマ：日本古典文化を問いなおす。
外国語演習（英語）,2017,1C145,多文化主義というテーマを中心に、異文化との関係についての論点を理解し、英語で議論できるようになることを目指す
外国語演習（英語）,2017,1C146,"In this seminar we will examine culture, politics, economics and social life in Europe and English-speaking countries. We will read and summarize newspaper articles, watch news and TV reports and consider further media in order to discuss the present issues affecting the social live in Europe and English-speaking countries."
外国語演習（フランス語）,2017,1C152,フランス語テキストの読解と文化理解
専門演習Ａ（地域）,2017,1C210,近代史・政治・経済・社会と日中外交の分野から見る現代中国；東南アジアの地理・歴史、政治・経済、環境と暮らし、宗教・社会、対日関係
専門演習Ａ（地域）,2017,1C212,本年度は西谷、小澤、井上の共同で授業を行ない、アメリカ合衆国の社会と文化について総合的に考えます。受講生は概要に示されたテーマに添って、議論が盛り上がるような論点を設定し、調査にもとづいて発表して下さい。それを受けて、クラス全体で議論する形で授業を進めていきます。グループによる発表、ディスカッションに積極的に参加してほしいと思っています。授業を通して、アメリカの特質を探ることはもちろんですが、インターネットや文献資料を使った調査方法、歴史研究、宗教・思想研究、社会学・政治学的分析手法、文学、映画等の作品研究、効果的なプレゼンテーションの方法などについても学びます。扱うテーマや材料はある程度提示しますが、みずから積極的に素材を見つけだし、感覚と科学的手法の両方をフルに使って、現代アメリカの姿を解明して下さい。
専門演習Ｂ(0),2017,1C221,主として心理学に関連した領域で実証的研究を行うために必要な知識・技能について習得する機会を提供します。基礎的知識に基づいて実証的研究を行う練習をしましょう。
専門演習Ｂ(0),2017,1C228,書物文化の解体と情報社会
専門演習Ｂ(2)（情報）,2017,1C321,主として心理学に関連した領域で実証的研究を行うために必要な知識・技能について習得する機会を提供します。基礎的知識に基づいて実証的研究を行う練習をしましょう。
専門演習Ｂ(2)（現代）,2017,1C328,書物文化の解体と情報社会
言語脳科学,2017,3C084,言語産出と理解に関する神経学的基盤とその調査方法について概観する。失語症を中心とした様々な言語コミュニケーションの障害と、その生理メカニズム・脳内過程処理について解説する。
外国語演習（英語）,2017,3C140,現代社会における移民と移動
外国語演習（英語）,2017,3C147,国際関係、特にロシア及び旧ソ連地域を取り巻く環境と、東アジアにおける国際情勢の過去と現在について検討する。
外国語演習（ドイツ語）,2017,3C150,この演習では、ドイツの文化、政治、経済、そして社会生活について検討します。ドイツの新聞記事を読んでその内容を要約し、ドイツのニュース番組 やテレビの報道番組を見て、メディアで描かれたそドイツの文化、政治、経済、そして社会生活を議論します。
専門演習Ｂ(1)（異文化）,2017,3C255,古代ギリシア・ローマ人の世界観を考える。
専門演習Ｂ(3)（情報）,2017,3C326,情報検索について概観するとともに、実際のメカニズムを理解できるように基本的な演習をします。
専門演習Ｂ(3)（異文化）,2017,3C355,古代ギリシア・ローマ人の世界観を考える。
高度教養セミナー国際文化学部（英語）（高度教養科目）,2017,3CZ05,現代社会における移民と移動
高度教養セミナー国際文化学部（英語）（高度教養科目）,2017,3CZ06,国際関係、特にロシア及び旧ソ連地域を取り巻く環境と、東アジアにおける国際情勢の過去と現在について検討する。
高度教養セミナー国際文化学部（ドイツ語）（高度教養科目）,2017,3CZ08,この演習では、ドイツの文化、政治、経済、そして社会生活について検討します。ドイツの新聞記事を読んでその内容を要約し、ドイツのニュース番組 やテレビの報道番組を見て、メディアで描かれたそドイツの文化、政治、経済、そして社会生活を議論します。
ロシア語会話I,2017,1C028,ロシア語会話の初級用の授業です。
国際コミュニケーション演習II,2017,1C037,"This course introduces students to contemporary international topics and aims to provide learners with the vocabulary and critical analysis skills necessary for discussing such topics in English. Students will participate in a range of discussion-style activities based on articles from English newspapers, online listening segments (e.g. newscasts, Ted Talks, YouTube videos, etc.), and other materials. For students who wish to study abroad or participate in international activities, this course offers skills and practice in conversation/discussion participation, as well as opportunities to assert their ideas in English. At the same time, students will become better informed about current issues being discussed in the media and by people around the world."
対人コミュニケーション論,2017,1C085,身振りや表情、視線、姿勢、他者との距離などの情報は、ときに言葉よりも的確に人の「こころ」の状態、動きを伝えることがあります。本授業では、人間がどのようにそれらの情報を認識しているのかについて、認知心理学や脳科学の知見を紹介しながら議論を深めていきたいと思います。。
ロシア・東アジア社会文化論,2017,1C124,東アジアにおける国際関係史、ロシア対外政策と日露関係を中心に講義する。第一に、江戸時代から20世紀にかけての日露両国の相互イメージについて学び、日露関係における重要な問題を考察する。第二に、朝鮮半島や中国、欧米諸国などの要素を取り入れ、国際関係の枠組で分析を行う。第三に、日露文化交流・人的交流、日露経済関係について検討し、日露関係の多面的構造を解説する。最後に、視聴覚メディア（地図、絵画、映像など）を通じて、日露両国の相互イメージの過去と現在を紹介する。
専門演習Ａ（現代）,2017,1C203,近代化に伴う様々な社会文化的問題についての気づきと学問的研究への導入。グローバル化の歴史とその多様な意味。近代化に伴う人間の土地あるいは環境に対する関係の変化。
英会話（上級）II,2017,3C019,"In this course, students will participate in a variety of speaking activities to develop their fluency and vocabulary on various themes. Listening materials will come from the Internet, giving students a good opportunity to listen to authentic, international English."
ロシア語会話II,2017,3C028,ロシア語会話の初級用の授業です。
博物館情報・メディア論,2017,3C072,情報通信技術（ICT）が発展した近年、文字、音声、静止画像、動画像といったさまざまなメディアが、デジタル化され、マルチメディアという言葉で表現されるようにコンピュータ上で統合的に扱われるようになってきた。そして、それらは、インターネットを代表とするコンピュータネットワークによって伝達が可能となっている。わたしたちは、日常生活において、この技術を享受して暮らしているが、今日の博物館においてもこの技術を活用するためのさまざまな取り組みがなされている。この技術を博物館で活用するためには、その技術の可能性や問題点についての知識や技能は欠かすことはできない。
近代社会思想論,2017,3C091,近代社会をめぐる諸理論
環境倫理学,2017,3C099,"Social and Global Justice    This year, this class will address the theme ""Social and Global Justice"", which is much broader than that of ""Environmental Ethics,"" because we are now required to consider environmental issues in the context of much broader social problems in an increasingly globalized world.    Since the 1970s, there have been long and lively controversies about what is the just method or process to distribute not only the benefits of social cooperation but also the economic and social burdens created in society.  In addition, particularly in these two decades, not just social inequalities within a society, but also political and socioeconomic inequalities between societies have received much attention.    This class is conducted in English and will welcome any students who want to read and actively discuss one of the most interesting books on social and global justice."
芸術文化環境論,2017,3C102,劇場、ホール、ミュージアムなどの芸術文化環境を考える上で避けることのできない文化政策の必要性、歴史的生成、理論的基礎、国際比較を通して、日本における文化政策の課題と展望を探る。
ヨーロッパ・アメリカ宗教文化論,2017,3C137,キリスト教は歴史的にその受容者の強力なアイデンティティを構成し、特徴的な文化を創造してきました。異宗教文化との間に、対立、武力衝突の原因をも作り出してきました。しかし他方では、異文化を統合する共通文化をも創造しました。つまり、文化的な実態としてのキリスト教は、民族のアイデンティティを構成する重要な要因であったと同時に、民族を超える普遍的な価値を持つ文化をも生み出したのです。本講義では、まずキリスト教とはどのような宗教なのかについてユダヤ教から考察し、中世の西洋キリスト教世界、さらに宗教改革を経て、プロテスタンティズムを基盤とする西洋近代社会文化の諸相を明らかにすることを目標とします。[EUIJ科目]
専門演習Ｂ(1)（情報）,2017,3C217,"The topic of this class is Second Language Phonology - in other words, how humans learn the pronunciation of a second language (L2). In this class, we will explore this topic from the perspective of Phonetics and Phonology.The final project for this class will be to design your own experiment . You will work with the instructor to decide the topic, but you can freely choose it based on your personal interests."
専門演習Ｂ(1)（現代）,2017,3C233,テーマ：「生命をめぐる法と倫理」目標： 生命倫理をめぐる諸問題において、いかなる倫理や規範が問題とされ、どのような対応が求められるのかについて考察することを通して、倫理や道徳などの文化規範を新たに形成したり再構成する際に要請される、多元的な視角と論証能力、さらにそれらを通しての問題解決能力の育成を、この演習は目標としている。
専門演習Ｂ(1)（現代）,2017,3C241,芸術文化論：移民映画と文学
専門演習Ｂ(1)（異文化）,2017,3C244,"この演習では、質的社会調査の手法として文化人類学のfieldworkと民族誌の理論と実践を学ぶ加えて,Photo Ethnograpyの手法による、fieldworkにおける民族誌的データの収集、加工、編集のスキルと、民族誌の構成について受講者自らが民族誌を作り上げ、手法を学ぶ"
専門演習Ｂ(1)（地域）,2017,3C263,近代東アジアにおける日中関係 とくに２０世紀に起こった事例を取り上げ、様々な側面から日中関係の問題点を分析し、相互理解の必要性と重要性を再確認する
専門演習Ｂ(3)（情報）,2017,3C317,"The topic of this class is Second Language Phonology - in other words, how humans learn the pronunciation of a second language (L2). In this class, we will explore this topic from the perspective of Phonetics and Phonology.The final project for this class will be to design your own experiment . You will work with the instructor to decide the topic, but you can freely choose it based on your personal interests."
専門演習Ｂ(3)（情報）,2017,3C320,認知心理学分野における実証的な研究を行うための、実践的な実験心理演習を行います。質問紙や実験、データ解析を実際に手を動かし、ディスカッションしながら進め、卒業研究にむけての道筋をつけましょう。
専門演習Ｂ(3)（現代）,2017,3C333,テーマ：「生命をめぐる法と倫理」目標： 生命倫理をめぐる諸問題において、いかなる倫理や規範が問題とされ、どのような対応が求められるのかについて考察することを通して、倫理や道徳などの文化規範を新たに形成したり再構成する際に要請される、多元的な視角と論証能力、さらにそれらを通しての問題解決能力の育成を、この演習は目標としている。
専門演習Ｂ(3)（現代）,2017,3C341,芸術文化論：移民映画と文学
